Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11110178459,"Mar 25, 2024, 6:01:54 AM",Morning Swim,Swim,,2637,"1,250",,,false,,,activities/11875394976.fit.gz,,,2637.0,2631.0,1250.0,1.472,0.475,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,,,,,315.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.474,0.0,,,,,,,,,,,,,,,,,""
11110178463,"Mar 7, 2024, 5:03:21 PM",Evening Swim,Swim,,2688,700,,,false,,,activities/11875394980.fit.gz,,,2688.0,2629.0,700.0,1.564,0.266,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.0,,,,,282.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.26,0.0,,,,,,,,,,,,,,,,,""
11110178526,"Apr 4, 2024, 4:01:19 PM",Evening Swim,Swim,,2670,950,,,false,,,activities/11875394985.fit.gz,,,2670.0,2590.0,950.0,1.192,0.367,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.0,,,,,338.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.356,0.0,,,,,,,,,,,,,,,,,""
11110178530,"Feb 29, 2024, 4:01:32 PM",Afternoon Swim,Swim,,2675,700,,,false,,,activities/11875394984.fit.gz,,,2675.0,2623.0,700.0,2.778,0.267,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,,,,,230.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.262,0.0,,,,,,,,,,,,,,,,,""
11110178531,"Mar 14, 2024, 5:02:34 PM",Evening Swim,Swim,,2625,900,,,false,,,activities/11875394987.fit.gz,,,2625.0,2574.0,900.0,1.668,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,,,28.0,,,,,318.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.343,0.0,,,,,,,,,,,,,,,,,""
11110178532,"Mar 4, 2024, 3:16:41 PM",Afternoon Swim,Swim,,2702,750,,,false,,,activities/11875395019.fit.gz,,,2702.0,2680.0,750.0,2.5,0.28,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,,,,,209.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.278,0.0,,,,,,,,,,,,,,,,,""
11110178533,"Feb 26, 2024, 3:15:29 PM",Afternoon Swim,Swim,,2704,225,,,false,,,activities/11875394981.fit.gz,,,2704.0,2672.0,225.0,2.5,0.084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,289.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.083,0.0,,,,,,,,,,,,,,,,,""
11110178536,"Apr 2, 2024, 9:46:29 AM",Lunch Swim,Swim,,2658,"1,175",,,false,,,activities/11875394991.fit.gz,,,2658.0,2617.0,1175.0,1.786,0.449,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.0,,,,,377.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.442,0.0,,,,,,,,,,,,,,,,,""
11110178543,"Mar 18, 2024, 3:16:33 PM",Afternoon Swim,Swim,,2723,900,,,false,,,activities/11875395017.fit.gz,,,2723.0,2628.0,900.0,1.924,0.342,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,,,,,307.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.331,0.0,,,,,,,,,,,,,,,,,""
11110178549,"Mar 21, 2024, 5:03:11 PM",Evening Swim,Swim,,2549,975,,,false,,,activities/11875394996.fit.gz,,,2549.0,2483.0,975.0,1.924,0.393,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,,,,,321.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.383,0.0,,,,,,,,,,,,,,,,,""
11110178563,"Mar 11, 2024, 3:15:38 PM",Afternoon Swim,Swim,,3045,900,,,false,,,activities/11875395009.fit.gz,,,3045.0,2576.0,900.0,1.924,0.349,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.0,,,,,247.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.296,0.0,,,,,,,,,,,,,,,,,""
11110178567,"Feb 26, 2024, 4:43:31 PM",Afternoon Run,Run,"",2721,7.06,,,false,,HOKA Clifton 9 Pomarańcz,activities/11875394999.fit.gz,,,2721.0,2721.0,7066.0,4.184,2.597,34.0,32.0,49.0,77.6,7.0,0.0,,,88.0,81.0,,,,306.0,550.0,,,,833173.0,,,,,,,,307.0,2722.0,0.0,,0.0,,1.0,7113.4,,,,,,,,,,,,,,,,17243084.0,,,,,,,,,,0.0,2.597,812.7,,,,7316.0,,,403.0,231.0,2.614,,,,,,,,""
11110178568,"Mar 25, 2024, 8:07:25 AM",Morning Ride,Ride,"",8167,45.19,,,false,,Czarna strzała,activities/11875394989.fit.gz,,,8167.0,7243.0,45194.9,9.188,6.24,174.0,173.0,23.8,51.4,5.6,0.0,,,,,,,,,1113.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14104308.0,,,,,,,,,,,0.0,5.534,479.4,,,,,,,,,,,,,,,,,""
11110178576,"Mar 29, 2024, 12:16:05 PM",Afternoon Ride,Ride,"",5749,18.19,,,false,,Czarna strzała,activities/11875394988.fit.gz,,,5749.0,4195.0,18195.5,7.732,4.337,120.0,100.0,-0.6,41.0,22.1,0.1,,,,,,,,,436.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14104308.0,,,,,,,,,,,0.0,3.165,1063.3,,,,,,,,,,,,,,,,,""
11110178577,"Mar 19, 2024, 1:24:46 PM",Afternoon Football (Soccer),Football (Soccer),,4128,5.90,,,false,,,activities/11875394982.fit.gz,,,4128.0,3907.0,5900.1,5.886,1.51,0.0,0.0,7.1,9.2,4.2,0.0,,,115.0,61.0,,,,,735.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.429,0.0,,,,,,,,,,,,,,,,,""
11110178580,"Mar 5, 2024, 2:42:32 PM",Afternoon Football (Soccer),Football (Soccer),,3570,5.59,,,false,,,activities/11875394995.fit.gz,,,3570.0,3554.0,5593.2,6.368,1.574,0.0,0.0,7.9,9.6,6.1,0.0,,,113.0,61.0,,,,,705.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.567,0.0,,,,,,,,,,,,,,,,,""
11110178586,"Mar 19, 2024, 2:50:47 PM",Afternoon Ride,Ride,"",6405,22.22,,,false,,Czarna strzała,activities/11875394992.fit.gz,,,6405.0,4845.0,22222.8,8.315,4.587,176.0,44.0,0.4,141.6,49.5,0.6,,,,,,,,,745.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14104308.0,,,,,,,,,,,0.0,3.47,90.9,,,,,,,,,,,,,,,,,""
11110178588,"Mar 30, 2024, 4:07:05 PM",Afternoon Run,Run,"",3735,10.08,,,false,,HOKA Clifton 9 Pomarańcz,activities/11875395002.fit.gz,,,3735.0,3735.0,10080.4,3.944,2.699,47.0,46.0,34.4,77.4,9.7,0.0,,,85.0,79.0,,,,329.0,740.0,,,,1228860.0,,,,,,,,332.0,3736.0,0.0,,0.0,,1.0,10150.8,,,,,,,,,,,,,,,,17243084.0,,,,,,,,,,0.0,2.699,71.9,,,,9884.0,,,647.0,250.0,2.718,,,,,,,,""
11110178590,"Apr 1, 2024, 2:47:07 PM",Afternoon Run,Run,"",3614,9.44,,,false,,HOKA Clifton 9 Pomarańcz,activities/11875394983.fit.gz,,,3614.0,3614.0,9443.3,3.736,2.613,43.0,41.0,35.6,79.8,6.7,0.0,,,83.0,79.0,,,,321.0,775.0,,,,1158615.0,,,,,,,,321.0,3615.0,0.0,,0.0,,1.0,9506.9,,,,,,,,,,,,,,,,17243084.0,,,,,,,,,,0.0,2.613,397.7,,,,9604.0,,,584.0,241.0,2.631,,,,,,,,""
11110178599,"Mar 29, 2024, 9:51:14 AM",Morning Ride,Ride,"",6090,19.57,,,false,,Czarna strzała,activities/11875394986.fit.gz,,,6090.0,4584.0,19578.2,8.867,4.271,143.0,152.0,3.8,41.8,44.1,-0.1,,,,,,,,,512.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14104308.0,,,,,,,,,,,0.0,3.215,2409.5,,,,,,,,,,,,,,,,,""
11110178600,"Mar 19, 2024, 8:22:45 AM",Morning Ride,Ride,"",5118,23.43,,,false,,Czarna strzała,activities/11875395012.fit.gz,,,5118.0,4310.0,23433.0,10.537,5.437,68.0,188.0,-5.0,135.2,49.1,-0.5,,,,,,,,,591.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14104308.0,,,,,,,,,,,0.0,4.579,1299.5,,,,,,,,,,,,,,,,,""
11110178606,"Mar 28, 2024, 4:01:22 PM",Afternoon Swim,Swim,,2713,"1,000",,,false,,,activities/11875395007.fit.gz,,,2713.0,2676.0,1000.0,2.084,0.374,0.0,0.0,0.0,0.0,0.0,0.0,,,,23.0,,,,,330.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.369,0.0,,,,,,,,,,,,,,,,,""
