Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2024-03-25 08:07:25,2024,3,25,0,8167,7243.0,45.19,,,Czarna strzała,33.076800000000006,22.464000000000002,,,1113.0
2024-03-29 12:16:05,2024,3,29,4,5749,4195.0,18.19,,,Czarna strzała,27.8352,15.613199999999999,,,436.0
2024-03-19 14:50:47,2024,3,19,1,6405,4845.0,22.22,,,Czarna strzała,29.933999999999997,16.5132,,,745.0
2024-03-29 09:51:14,2024,3,29,4,6090,4584.0,19.57,,,Czarna strzała,31.921200000000002,15.3756,,,512.0
2024-03-19 08:22:45,2024,3,19,1,5118,4310.0,23.43,,,Czarna strzała,37.93320000000001,19.5732,,,591.0
2024-04-09 07:31:05,2024,4,9,1,4683,4287.0,23.80,154.0,127.0,Czarna strzała,50.3568,19.987199999999998,,,593.0
2024-04-09 13:55:43,2024,4,9,1,4634,4337.0,21.38,156.0,132.0,Czarna strzała,32.504400000000004,17.7516,,,653.0
2024-04-23 06:30:39,2024,4,23,1,4290,3922.0,22.68,155.0,132.0,Czarna strzała,50.8176,20.8224,,,625.0
2024-04-23 13:46:15,2024,4,23,1,5902,4516.0,22.12,159.0,132.0,Czarna strzała,29.628000000000004,17.636400000000002,,,746.0
2024-04-26 23:23:07,2024,4,26,4,2073,2073.0,15.97,167.0,153.0,Czarna strzała,40.845600000000005,27.738,,,403.0
2024-05-04 08:42:43,2024,5,4,5,6975,6521.0,40.43,169.0,141.0,Czarna strzała,44.8272,22.3236,,,1051.0
2024-05-13 09:16:43,2024,5,13,0,7389,6780.0,42.59,167.0,142.0,Czarna strzała,43.272,22.6188,,,1075.0
2024-02-17 18:20:59,2024,2,17,5,7755,7313.0,39.17,,,Czarna strzała,33.84,19.2852,,,534.0
2024-02-01 12:50:18,2024,2,1,3,4169,4035.0,22.44,,,Czarna strzała,36.36,20.023200000000003,,,339.0
2024-02-15 12:02:11,2024,2,15,3,4390,4134.0,24.72,,,Czarna strzała,44.8812,21.528000000000002,,,430.0
2024-05-28 08:31:15,2024,5,28,1,830,650.0,3.60,163.0,134.0,Czarna strzała,37.5156,19.9764,,,144.0
2024-05-28 08:46:12,2024,5,28,1,3732,3732.0,24.67,160.0,135.0,Czarna strzała,36.684,23.8032,,,562.0
2024-05-28 09:49:21,2024,5,28,1,840,730.0,3.71,153.0,126.0,Czarna strzała,33.793200000000006,18.3168,,,130.0
2024-05-31 07:45:17,2024,5,31,4,34014,26314.0,150.40,168.0,137.0,Czarna strzała,46.9512,20.5776,,,3847.0
2024-06-26 05:09:15,2024,6,26,2,12292,11263.0,71.46,157.0,137.0,Czarna strzała,46.0944,22.842,,,1686.0
2024-07-02 15:04:35,2024,7,2,1,13016,12011.0,76.13,161.0,136.0,Czarna strzała,44.6184,22.820400000000003,,,1636.0
2024-07-12 04:35:23,2024,7,12,4,10872,10140.0,63.61,157.0,134.0,Czarna strzała,51.3828,22.5828,,,1430.0
2024-07-19 09:57:49,2024,7,19,4,13509,12012.0,75.08,162.0,139.0,Czarna strzała,49.3524,22.5,,,1834.0
2024-07-29 12:39:41,2024,7,29,0,6311,5028.0,32.11,155.0,134.0,Czarna strzała,39.6,22.993199999999998,,,853.0
2024-08-01 11:49:02,2024,8,1,3,459,459.0,2.79,147.0,130.0,Czarna strzała,38.476800000000004,21.8736,,,85.0
2024-08-01 13:45:20,2024,8,1,3,5035,4884.0,34.68,160.0,148.0,Czarna strzała,40.4964,25.5636,,,989.0
2024-08-01 16:27:14,2024,8,1,3,656,621.0,2.88,163.0,147.0,Czarna strzała,34.9056,16.740000000000002,,,144.0
2024-08-04 08:45:46,2024,8,4,6,13660,13455.0,88.01,79.0,72.0,Czarna strzała,51.4296,23.547600000000003,,,3370.0
2024-10-15 13:29:50,2024,10,15,1,829,829.0,10.08,131.0,106.0,Czarna strzała,66.9672,43.7832,210.0,76.0,103.0
2024-10-21 18:22:47,2024,10,21,0,2401,2401.0,19.43,169.0,152.0,Czarna strzała,48.988800000000005,29.131200000000003,130.0,72.0,498.0
2024-11-04 16:48:12,2024,11,4,0,2438,2438.0,19.41,157.0,145.0,Czarna strzała,48.528000000000006,28.666800000000002,115.0,68.0,492.0
2024-11-19 17:41:15,2024,11,19,1,2467,2467.0,19.38,164.0,137.0,Czarna strzała,48.168000000000006,28.2924,138.0,69.0,484.0
2025-01-03 17:12:23,2025,1,3,4,980,980.0,7.12,165.0,151.0,Czarna strzała,41.184,26.1504,99.0,70.0,224.0
2025-01-05 18:09:28,2025,1,5,6,802,802.0,5.01,141.0,126.0,Czarna strzała,24.840000000000003,22.496399999999998,69.0,61.0,133.0
2025-01-30 19:31:35,2025,1,30,3,749,749.0,6.98,162.0,147.0,Czarna strzała,62.71200000000001,33.580799999999996,129.0,73.0,163.0
2025-02-27 17:00:41,2025,2,27,3,2434,2434.0,19.42,162.0,139.0,Czarna strzała,50.616,28.7244,93.0,68.0,498.0
2025-04-23 05:29:41,2025,4,23,2,2324,1936.0,12.35,163.0,127.0,Czarna strzała,47.16,22.9752,,,379.0
