Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2024-02-26 16:43:31,2024,2,26,0,2721,2721.0,7.06,,,HOKA Clifton 9 Pomarańcz,15.0624,9.3492,88.0,81.0,550.0
2024-03-30 16:07:05,2024,3,30,5,3735,3735.0,10.08,,,HOKA Clifton 9 Pomarańcz,14.1984,9.7164,85.0,79.0,740.0
2024-04-01 14:47:07,2024,4,1,0,3614,3614.0,9.44,,,HOKA Clifton 9 Pomarańcz,13.4496,9.4068,83.0,79.0,775.0
2024-02-29 19:29:47,2024,2,29,3,2705,2705.0,6.85,,,HOKA Clifton 9 Pomarańcz,14.7528,9.126000000000001,86.0,79.0,554.0
2024-03-02 21:24:49,2024,3,2,5,6636,6636.0,16.30,,,HOKA Clifton 9 Pomarańcz,13.9536,8.8452,83.0,78.0,1276.0
2024-03-12 18:55:19,2024,3,12,1,3632,3632.0,9.34,,,HOKA Clifton 9 Pomarańcz,13.32,9.2592,83.0,78.0,722.0
2024-02-24 13:56:51,2024,2,24,5,4516,4516.0,11.27,,,HOKA Clifton 9 Pomarańcz,13.572000000000001,8.9892,85.0,79.0,1063.0
2024-03-15 17:34:25,2024,3,15,4,3615,3615.0,9.30,,,HOKA Clifton 9 Pomarańcz,14.306400000000002,9.2628,84.0,79.0,772.0
2024-03-25 10:48:37,2024,3,25,0,6290,5883.0,13.59,,,HOKA Clifton 9 Pomarańcz,11.7936,8.3196,86.0,78.0,1059.0
2024-04-08 11:30:12,2024,4,8,0,5406,5406.0,13.63,172.0,157.0,HOKA Clifton 9 Pomarańcz,14.4432,9.0756,86.0,78.0,1127.0
2024-04-11 18:05:52,2024,4,11,3,3033,3033.0,7.90,166.0,148.0,HOKA Clifton 9 Pomarańcz,15.7968,9.3816,88.0,79.0,625.0
2024-04-13 07:02:14,2024,4,13,5,1480,1480.0,4.99,173.0,164.0,HOKA Clifton 9 Pomarańcz,16.7832,12.1464,88.0,83.0,370.0
2024-04-18 17:43:18,2024,4,18,3,3016,3016.0,8.18,165.0,147.0,HOKA Clifton 9 Pomarańcz,14.6952,9.763200000000001,86.0,79.0,633.0
2024-04-22 08:54:15,2024,4,22,0,4820,4812.0,12.73,140.0,121.0,HOKA Clifton 9 Pomarańcz,14.1264,9.522,84.0,79.0,882.0
2024-04-26 22:56:50,2024,4,26,4,1486,1486.0,4.70,167.0,158.0,HOKA Clifton 9 Pomarańcz,14.0544,11.3868,91.0,81.0,349.0
2024-04-26 23:58:43,2024,4,26,4,848,848.0,2.77,197.0,188.0,HOKA Clifton 9 Pomarańcz,21.3408,11.7864,94.0,84.0,227.0
2024-04-29 08:41:11,2024,4,29,0,2717,2717.0,7.47,174.0,152.0,HOKA Clifton 9 Pomarańcz,14.961599999999999,9.9,88.0,79.0,587.0
2024-05-02 12:17:36,2024,5,2,3,3306,3302.0,8.99,168.0,156.0,HOKA Clifton 9 Pomarańcz,13.4784,9.81,85.0,79.0,730.0
2024-05-06 06:54:37,2024,5,6,0,3177,3177.0,9.08,172.0,153.0,HOKA Clifton 9 Pomarańcz,15.026400000000002,10.299600000000002,112.0,78.0,707.0
2024-05-10 16:15:40,2024,5,10,4,2527,2527.0,7.16,165.0,139.0,HOKA Clifton 9 Pomarańcz,17.6616,10.2024,87.0,78.0,531.0
2024-05-13 07:26:09,2024,5,13,0,1806,1806.0,5.12,153.0,145.0,HOKA Clifton 9 Pomarańcz,12.5136,10.2132,81.0,78.0,385.0
2023-11-11 07:04:14,2023,11,11,5,3385,3385.0,10.04,183.0,165.0,,15.105599999999999,10.684800000000001,,,1065.0
2024-01-06 15:26:19,2024,1,6,5,3008,2999.0,7.29,,,,13.3596,8.7552,,,735.0
2023-08-24 08:43:00,2023,8,24,3,1521,1516.0,4.08,,,,16.9668,9.7056,,,413.0
2023-11-27 10:25:53,2023,11,27,0,1622,1622.0,4.60,,,,15.03,10.2276,,,465.0
2024-02-11 07:59:52,2024,2,11,6,877,605.0,2.06,,,HOKA Clifton 9 Pomarańcz,20.422800000000002,12.2904,,,219.0
2024-02-20 18:53:36,2024,2,20,1,3642,3642.0,9.21,,,HOKA Clifton 9 Pomarańcz,17.557199999999998,9.107999999999999,,,932.0
2024-01-14 17:36:27,2024,1,14,6,4834,4831.0,11.46,,,,13.985999999999999,8.5392,,,1166.0
2024-02-11 09:01:34,2024,2,11,6,3367,3364.0,10.06,,,HOKA Clifton 9 Pomarańcz,16.992,10.7676,,,1067.0
2023-12-31 13:04:21,2023,12,31,6,4216,4210.0,10.47,,,,13.5396,8.9568,,,1058.0
2024-02-07 18:11:01,2024,2,7,2,3021,3011.0,7.60,,,HOKA Clifton 9 Pomarańcz,13.734,9.0936,,,770.0
2024-01-17 18:31:39,2024,1,17,2,3632,3624.0,8.59,,,,13.755600000000001,8.5392,,,869.0
2023-12-06 19:07:20,2023,12,6,2,3607,3602.0,8.69,,,,12.7332,8.6832,,,880.0
2023-09-03 18:05:22,2023,9,3,6,1511,1507.0,4.32,,,,15.9192,10.332,,,437.0
2024-01-27 17:35:18,2024,1,27,5,5401,5398.0,13.07,,,,12.517199999999999,8.7156,,,1327.0
2023-08-21 21:54:03,2023,8,21,0,1222,1213.0,3.33,,,,17.7588,9.8856,,,336.0
2024-01-23 14:18:20,2024,1,23,1,3017,3010.0,7.56,,,,13.5612,9.0432,,,763.0
2024-02-05 14:16:01,2024,2,5,0,3624,3615.0,9.34,,,,15.3828,9.306000000000001,,,945.0
2023-12-17 08:45:46,2023,12,17,6,2967,2964.0,7.92,,,,15.2604,9.6228,,,801.0
2024-02-15 19:17:46,2024,2,15,3,5403,5403.0,12.99,,,HOKA Clifton 9 Pomarańcz,11.7468,8.658,,,1315.0
2024-02-22 19:02:50,2024,2,22,3,3614,3605.0,9.13,,,HOKA Clifton 9 Pomarańcz,12.546,9.1188,,,924.0
2023-09-10 14:52:23,2023,9,10,6,1845,1807.0,5.03,175.0,158.0,,14.824800000000002,10.0296,,,509.0
2023-09-01 19:26:16,2023,9,1,4,1700,1685.0,4.70,175.0,155.0,,15.505200000000002,10.044,,,475.0
2023-12-29 20:04:24,2023,12,29,4,3018,3010.0,7.54,,,,15.120000000000001,9.018,,,762.0
2023-09-08 06:33:04,2023,9,8,4,1846,1808.0,5.39,177.0,160.0,,17.226000000000003,10.7424,,,547.0
2024-01-03 10:45:24,2024,1,3,2,3025,3021.0,7.91,,,,12.762,9.4356,,,800.0
2023-08-30 10:14:18,2023,8,30,2,1260,1207.0,3.50,169.0,152.0,,15.5592,10.4364,,,354.0
2023-09-20 17:38:35,2023,9,20,2,2364,2284.0,6.33,170.0,159.0,,16.3656,9.9864,,,636.0
2023-09-06 19:29:39,2023,9,6,2,1940,1931.0,5.22,167.0,150.0,,15.148800000000001,9.738000000000001,,,528.0
2023-09-28 09:51:36,2023,9,28,3,2311,2275.0,6.23,176.0,159.0,,13.806000000000001,9.8604,,,622.0
2023-10-02 16:41:09,2023,10,2,0,1876,1800.0,5.25,172.0,121.0,,16.070400000000003,10.504800000000001,,,531.0
2023-10-08 16:52:14,2023,10,8,6,3088,2884.0,8.31,172.0,116.0,,14.9904,10.3824,,,842.0
2023-11-02 12:09:29,2023,11,2,3,3184,3184.0,8.17,170.0,154.0,,14.814000000000002,9.2376,,,824.0
2023-09-30 09:51:24,2023,9,30,5,2626,2586.0,7.19,175.0,157.0,,14.2524,10.0152,,,727.0
2023-08-27 10:30:27,2023,8,27,6,1867,1812.0,4.96,176.0,157.0,,18.7164,9.8712,,,502.0
2023-09-15 20:04:57,2023,9,15,4,2044,1984.0,5.89,174.0,157.0,,15.361200000000002,10.7028,,,599.0
2023-09-23 09:46:33,2023,9,23,5,2365,2285.0,6.43,174.0,160.0,,15.0984,10.134,,,647.0
2023-09-13 15:11:04,2023,9,13,2,1672,1625.0,4.77,171.0,159.0,,14.1552,10.5768,,,482.0
2023-10-22 17:18:15,2023,10,22,6,3185,3185.0,8.35,176.0,153.0,,13.7916,9.4464,,,842.0
2023-10-12 19:10:54,2023,10,12,3,3108,2822.0,8.22,132.0,108.0,,16.3764,10.490400000000001,,,833.0
2023-10-15 06:44:39,2023,10,15,6,2918,2884.0,7.95,146.0,114.0,,15.512400000000001,9.9288,,,806.0
2023-10-06 18:00:29,2023,10,6,4,2631,2585.0,7.13,170.0,150.0,,14.223600000000001,9.936,,,721.0
2023-10-26 19:32:19,2023,10,26,3,3122,3122.0,8.73,171.0,147.0,,13.845600000000001,10.0728,,,884.0
2023-11-05 20:10:28,2023,11,5,6,2286,2262.0,6.35,174.0,152.0,,15.332400000000002,10.1088,,,639.0
2023-09-18 08:54:12,2023,9,18,0,1761,1681.0,4.86,178.0,155.0,,16.480800000000002,10.4148,,,491.0
2023-09-25 09:58:35,2023,9,25,0,2082,1922.0,5.54,171.0,146.0,,14.450400000000002,10.389600000000002,,,562.0
2024-05-18 17:31:28,2024,5,18,5,802,802.0,2.00,149.0,142.0,HOKA Clifton 9 Pomarańcz,15.947999999999999,9.010800000000001,83.0,77.0,161.0
2024-05-18 18:36:43,2024,5,18,5,7428,7428.0,21.31,178.0,164.0,HOKA Clifton 9 Pomarańcz,16.6104,10.332,88.0,81.0,1695.0
2024-05-21 12:37:18,2024,5,21,1,2613,2613.0,6.92,149.0,136.0,HOKA Clifton 9 Pomarańcz,26.128800000000002,9.5364,105.0,79.0,504.0
2024-05-23 18:31:52,2024,5,23,3,2417,2417.0,7.22,170.0,156.0,HOKA Clifton 9 Pomarańcz,15.984000000000002,10.764000000000001,88.0,81.0,552.0
2024-05-25 06:42:30,2024,5,25,5,603,603.0,1.59,149.0,140.0,HOKA Clifton 9 Pomarańcz,12.9384,9.522,82.0,79.0,124.0
2024-05-25 07:04:48,2024,5,25,5,1455,1455.0,5.00,183.0,174.0,HOKA Clifton 9 Pomarańcz,16.660800000000002,12.391200000000001,91.0,83.0,373.0
2024-06-02 16:55:19,2024,6,2,6,2098,2098.0,6.57,175.0,160.0,HOKA Clifton 9 Pomarańcz,15.3936,11.2896,86.0,81.0,499.0
2024-06-05 17:20:38,2024,6,5,2,3035,3035.0,8.42,158.0,142.0,HOKA Clifton 9 Pomarańcz,15.2892,9.993599999999999,85.0,79.0,654.0
2024-06-11 17:38:48,2024,6,11,1,2608,2585.0,7.62,176.0,158.0,HOKA Clifton 9 Pomarańcz,16.869600000000002,10.6164,88.0,80.0,587.0
2024-06-15 06:46:47,2024,6,15,5,594,594.0,1.55,163.0,146.0,HOKA Clifton 9 Pomarańcz,13.0464,9.4104,81.0,80.0,122.0
2024-06-15 07:05:26,2024,6,15,5,1473,1473.0,5.01,188.0,177.0,HOKA Clifton 9 Pomarańcz,23.4072,12.2508,105.0,82.0,383.0
2024-06-17 12:44:18,2024,6,17,0,3249,3008.0,8.87,169.0,151.0,HOKA Clifton 9 Pomarańcz,14.652000000000001,10.620000000000001,85.0,80.0,690.0
2024-06-21 22:02:56,2024,6,21,4,2985,2980.0,10.07,184.0,173.0,HOKA Clifton 9 Pomarańcz,16.8336,12.168,91.0,82.0,772.0
2024-06-24 13:47:03,2024,6,24,0,1805,1802.0,4.95,164.0,150.0,HOKA Clifton 9 Pomarańcz,12.5568,9.8892,87.0,80.0,404.0
2024-06-27 14:38:11,2024,6,27,3,2558,2521.0,7.03,179.0,165.0,HOKA Clifton 9 Pomarańcz,17.755200000000002,10.0476,90.0,79.0,595.0
2024-06-29 06:45:19,2024,6,29,5,584,584.0,1.50,144.0,134.0,HOKA Clifton 9 Pomarańcz,11.664000000000001,9.2628,82.0,80.0,115.0
2024-06-29 07:02:49,2024,6,29,5,1440,1440.0,5.01,184.0,170.0,HOKA Clifton 9 Pomarańcz,18.2592,12.5424,92.0,83.0,374.0
2024-07-05 15:20:02,2024,7,5,4,5437,5406.0,14.33,159.0,143.0,HOKA Clifton 9 Pomarańcz,13.7376,9.5436,113.0,79.0,1127.0
2024-07-08 11:00:58,2024,7,8,0,3344,3182.0,9.31,175.0,161.0,HOKA Clifton 9 Pomarańcz,14.306400000000002,10.533600000000002,85.0,79.0,758.0
2024-07-11 10:39:31,2024,7,11,3,3660,3632.0,10.27,171.0,151.0,HOKA Clifton 9 Pomarańcz,15.840000000000002,10.1808,85.0,79.0,817.0
2024-07-17 16:29:54,2024,7,17,2,2583,2583.0,7.56,174.0,158.0,HOKA Clifton 9 Pomarańcz,13.1256,10.5408,84.0,80.0,613.0
